,dataset,act,seed,dim_hidden,max_dist_prior,rmse_prior_mean,rmse_prior_var,rmse_test
27,two_dim_toy100,tanh,1,4000,0.7122349059970781,0.3891423869878439,0.18292968466496434,0.8299066424369812
28,two_dim_toy100,relu,1,8000,0.9824072813486676,0.6895402141888219,0.30639895036249876,0.9389431476593018
29,two_dim_toy100,tanh,1,8000,0.4559688087432962,0.28252962548188865,0.07437553614889904,0.9111301898956299
30,two_dim_toy100,relu,1,16000,1.026999645389802,0.7878654144177482,0.24745789275137892,0.9418566226959229
31,two_dim_toy100,tanh,1,16000,0.31552422401820956,0.21867059448188433,0.1032685146429374,0.926574170589447
32,two_dim_toy100,relu,2,125,1.2991210830875752,0.5629213448266863,0.6424172340923968,0.28010985255241394
33,two_dim_toy100,tanh,2,125,1.3541871638768284,0.6067017574610999,0.408777934391454,0.4442552626132965
34,two_dim_toy100,relu,2,250,1.718099044374841,0.8129068081556998,0.6623912279887882,0.49119675159454346
35,two_dim_toy100,tanh,2,250,1.7858381408768687,0.8865209846709812,0.3670268891272493,0.45305877923965454
36,two_dim_toy100,relu,2,500,1.4012676185125916,0.6132540880450273,0.5990955114614478,0.5719325542449951
37,two_dim_toy100,tanh,2,500,1.7753902961112904,0.8906671262865058,0.36156052022551877,0.5110310316085815
38,two_dim_toy100,relu,2,1000,3.4459759082373624,2.3977873173116455,0.6368943294695896,0.6126796007156372
39,two_dim_toy100,tanh,2,1000,1.3558420806254894,0.5295796668892245,0.2697209447772592,0.622758686542511
40,two_dim_toy100,relu,2,2000,0.9273260387167683,0.32440217163901786,0.5218535057848099,0.7085543274879456
41,two_dim_toy100,tanh,2,2000,1.0733346938501975,0.47038357887330234,0.21152726456227983,0.7621076703071594
42,two_dim_toy100,relu,2,4000,1.0337400864289195,0.6416158225290056,0.4132462448676328,0.9521262645721436
43,two_dim_toy100,tanh,2,4000,0.7792727121499808,0.42067904080638824,0.15355802530340382,0.838454008102417
44,two_dim_toy100,relu,2,8000,0.9425093143149232,0.720371868688715,0.35776608209654365,0.9465290307998657
