,dataset,act,seed,dim_hidden,max_dist_prior,rmse_prior_mean,rmse_prior_var,rmse_test
23,concrete_slump,tanh,1,1000,1.646688987939516,1.3203850498507101,0.2962650126046727,0.6407459651454815
24,concrete_slump,relu,1,2000,2.725372162989002,1.0966346274071332,0.47852660216567944,0.6933214024290081
25,concrete_slump,tanh,1,2000,1.40480378239024,1.184574825860207,0.19070331842122124,0.685243185661087
26,concrete_slump,relu,1,4000,2.6655730594476115,1.2619196562972135,0.4710731377482716,0.7167011353298435
27,concrete_slump,tanh,1,4000,1.258186399650982,0.9568503679958319,0.132802581439497,0.6999261792125395
28,concrete_slump,relu,1,8000,2.596606293980768,1.3718718934136842,0.3184441015155873,0.7144322455438736
29,concrete_slump,tanh,1,8000,1.0216550554385444,0.7302934572261387,0.12296953584786638,0.7244863671459961
30,concrete_slump,relu,1,16000,2.575982925419723,1.441238226016323,0.1937815104823546,0.7478123655512526
31,concrete_slump,tanh,1,16000,0.9361686823662129,0.4511328298885573,0.09071880524466222,0.7649738085087734
32,concrete_slump,relu,2,125,2.069670950454235,0.629254098347056,0.6665931880758661,0.9847468339806671
33,concrete_slump,tanh,2,125,2.444874147478208,1.943098063826437,0.4313809353810126,0.8414929864049616
34,concrete_slump,relu,2,250,3.3539740263518447,0.8051713014335107,0.6099794715390608,0.8980521433793928
35,concrete_slump,tanh,2,250,1.9354664965047788,1.303478281474991,0.402673149230032,0.8681683482132564
36,concrete_slump,relu,2,500,2.3381769399389145,0.8036913688102093,0.6266170878857383,0.8439512998524188
37,concrete_slump,tanh,2,500,1.8444811739946276,1.4421930621569805,0.33957129287366894,0.8727220759364694
38,concrete_slump,relu,2,1000,2.607980225028009,0.9140618225498898,0.604907831570106,0.8921812669832615
39,concrete_slump,tanh,2,1000,1.6207292623104168,1.272413061734658,0.31012620361188153,0.9114248662375666
40,concrete_slump,relu,2,2000,2.4489818387385958,0.988184861721475,0.49555944652630096,0.9249323502422248
41,concrete_slump,tanh,2,2000,1.4075758608302054,1.0575739971966174,0.19734956925704988,0.9628974770387352
42,concrete_slump,relu,2,4000,2.5366398993389527,1.0808480493936214,0.40474500461632384,0.9345167247359275
43,concrete_slump,tanh,2,4000,1.2472736004931477,0.9171330709312022,0.12196918130787034,0.9932485071955717
44,concrete_slump,relu,2,8000,2.1566635171724244,1.0434257084270293,0.3165184148099009,0.9601730556752787
45,concrete_slump,tanh,2,8000,1.130904478789046,0.7168136060916368,0.062353684847741266,1.0259174626692673
46,concrete_slump,relu,2,16000,2.3139092633079863,1.0831516140173651,0.21389809569081364,0.9618503848460309
47,concrete_slump,tanh,2,16000,0.902488322237892,0.45516224044583836,0.029665184739485807,1.097653362625567
48,concrete_slump,relu,3,125,2.8606808128142993,0.7647478494781649,0.7284757166973131,0.9425616502921268
49,concrete_slump,tanh,3,125,2.4416037184422876,1.9236314779833124,0.40410622173857796,0.7211590901953526
50,concrete_slump,relu,3,250,2.366505198146046,0.699394432428404,0.6627051412905053,0.926449156088608
51,concrete_slump,tanh,3,250,2.182539313424036,1.729908389542669,0.3825072814165863,0.7185855733453913
52,concrete_slump,relu,3,500,2.965790948048124,0.9269163869123151,0.6079199746515929,0.846739423761544
53,concrete_slump,tanh,3,500,2.0906614967089445,1.577925958812316,0.35894605705283716,0.7208984620933699
54,concrete_slump,relu,3,1000,2.701402619892583,1.0082754583085332,0.5900918649151473,0.788354968274595
55,concrete_slump,tanh,3,1000,1.6775607154736616,1.3022552795243318,0.29752905922952416,0.7255910397421095
56,concrete_slump,relu,3,2000,2.517037080106189,1.0480267948306834,0.5141212411717933,0.7483412164498845
57,concrete_slump,tanh,3,2000,1.5297376359688049,1.1531574680759664,0.1846533111795288,0.7290237362910481
58,concrete_slump,relu,3,4000,3.154694290494496,1.293917888575047,0.4168906931519504,0.7393429785673961
59,concrete_slump,tanh,3,4000,1.2645479233977768,0.9665935918228666,0.12384857664982227,0.7402796554636858
60,concrete_slump,relu,3,8000,2.4080146848702886,1.3023162769220518,0.30129360383733206,0.7293327169754147
61,concrete_slump,tanh,3,8000,1.0777187921444245,0.7329755725638079,0.054797340573615794,0.7524693451057922
