,dataset,act,seed,dim_hidden,max_dist_prior,rmse_prior_mean,rmse_prior_var,rmse_test
0,concrete_tanh,tanh,0,125,1.8219279509062092,0.9008971628536061,0.40611654917871653,0.4436880855066046
1,concrete_tanh,tanh,0,250,1.7598164462512964,0.8936708610277927,0.36163203152040724,0.45010670447351303
2,concrete_tanh,tanh,0,500,1.7229213204829266,0.7983449881376847,0.3737944128060584,0.47242503510142225
3,concrete_tanh,tanh,0,1000,1.5857450147951604,0.7565555035620688,0.2843019742458704,0.5000513236996529
4,concrete_tanh,tanh,0,2000,1.504736956572426,0.7122058753386459,0.1958458223461462,0.5297937084056094
5,concrete_tanh,tanh,0,4000,1.3239165168959768,0.6473109311392503,0.14612095658855226,0.5753413044097854
6,concrete_tanh,tanh,0,8000,1.350067022272486,0.5590604984822863,0.05775206578264584,0.6302099733276539
7,concrete_tanh,tanh,0,16000,0.8893409693295702,0.40379551668391617,0.055839224203667874,0.6811522564371384
8,concrete_tanh,tanh,1,125,1.8097606055383257,1.0008892165258902,0.43891628983120806,0.39615416437796347
9,concrete_tanh,tanh,1,250,1.760693861944842,0.865392754825514,0.3886235261546516,0.4127354691361205
10,concrete_tanh,tanh,1,500,1.5625614251419206,0.7810193657789924,0.3431003545985025,0.4380702582988897
11,concrete_tanh,tanh,1,1000,1.7037083968918745,0.7866166766422333,0.3068611762211147,0.4782399732411513
12,concrete_tanh,tanh,1,2000,1.6866600164924723,0.7411953151222826,0.21759474090966782,0.5235196697612514
13,concrete_tanh,tanh,1,4000,1.4695797891870397,0.6830116878661028,0.1108146954066862,0.5740072427198306
14,concrete_tanh,tanh,1,8000,1.183251390232371,0.5080020930973387,0.05673150335665006,0.6422532472552137
15,concrete_tanh,tanh,1,16000,1.0654280019952893,0.43034046273009097,0.043023658230399484,0.6856028489295335
16,concrete_tanh,tanh,2,125,1.700503675435264,0.8366647096272792,0.39622918469155394,0.41870629451578645
17,concrete_tanh,tanh,2,250,1.7978482580377377,0.9149777435760146,0.40222383847164167,0.41048009980818306
18,concrete_tanh,tanh,2,500,1.6518712955010078,0.8764206386348128,0.3438057017392768,0.424357573877778
19,concrete_tanh,tanh,2,1000,1.5133282789661975,0.8094557757393762,0.2684154536849374,0.4461852637025013
20,concrete_tanh,tanh,2,2000,1.5846092845308049,0.706352331922728,0.18144212044201807,0.47567984949843317
21,concrete_tanh,tanh,2,4000,1.3420680826965588,0.5684399405776143,0.13351204740134115,0.5123314822217082
22,concrete_tanh,tanh,2,8000,1.3356207689150812,0.6038249333484543,0.06825374864325089,0.5603638671385623
23,concrete_tanh,tanh,2,16000,1.0378991709603673,0.4274497757432991,0.048395808920961715,0.6042237673442177
24,concrete_tanh,tanh,3,125,1.6782864738250391,0.8921967682929006,0.39582779206053215,0.41889285505259277
25,concrete_tanh,tanh,3,250,1.9108391511740879,0.9739657833225221,0.3702127342298091,0.4339274906240301
26,concrete_tanh,tanh,3,500,1.6870885500520694,0.9294037690509833,0.36190056554448663,0.46190445497733146
27,concrete_tanh,tanh,3,1000,1.6967529410356046,0.8548799717874337,0.2668770222073278,0.498629902660064
28,concrete_tanh,tanh,3,2000,1.6307527102630128,0.7480214938467294,0.1867071377968356,0.5328534544100958
29,concrete_tanh,tanh,3,4000,1.461026271772772,0.7005366790827925,0.13533292278003478,0.5755034950975955
30,concrete_tanh,tanh,3,8000,1.434275710540962,0.5048464573669359,0.09324979923837598,0.6351887740049805
31,concrete_tanh,tanh,3,16000,0.9314605980338566,0.3744376778473668,0.06411592288439232,0.6709559250811152
32,concrete_tanh,tanh,4,125,1.7150373527095193,0.8903218680110859,0.41158729908497105,0.41768799359650777
33,concrete_tanh,tanh,4,250,1.8572940851238722,1.0117826707640998,0.3706008175030549,0.4253558875072385
34,concrete_tanh,tanh,4,500,1.6964503441136456,0.8161903554034038,0.33313105401292953,0.4458914452942842
35,concrete_tanh,tanh,4,1000,1.5670303279672197,0.7471651537777605,0.28038919547360075,0.4727190895136767
36,concrete_tanh,tanh,4,2000,1.6677155190696458,0.7459954955546891,0.19921936732818035,0.5027763208774488
37,concrete_tanh,tanh,4,4000,1.440180743493275,0.6596650648195047,0.154399664063274,0.5400144639259786
38,concrete_tanh,tanh,4,8000,1.2421280574154494,0.5295538244926485,0.05836859624696361,0.5964877533992621
39,concrete_tanh,tanh,4,16000,1.1812568481770718,0.42508082257182206,0.05574839348712325,0.6345664342090004
