,dataset,act,seed,dim_hidden,max_dist_prior,rmse_prior_mean,rmse_prior_var,rmse_test
0,sin2,relu,0,125,1.3489029926603915,0.6784481575644841,0.35773190730172594,13.272356033325195
1,sin2,tanh,0,125,0.6932939167330753,0.4102972052134974,0.05357312605860218,13.756997108459473
2,sin2,relu,0,250,1.2086367630536716,0.612939076773337,0.29837968528453235,13.28009033203125
3,sin2,tanh,0,250,0.5779717124669155,0.34175003747376265,0.03986043692095867,13.756660461425781
4,sin2,relu,0,500,1.010357859771029,0.4700235759708304,0.1124666329385071,13.388083457946777
5,sin2,tanh,0,500,0.437302865629405,0.25398773405356806,0.060702450187852044,13.814835548400879
6,sin2,relu,0,1000,0.683734190835801,0.3297295566540806,0.08957269847968193,13.972443580627441
7,sin2,tanh,0,1000,0.2046888710990402,0.10229143718732021,0.017394525991686147,13.854776382446289
8,sin2,relu,0,2000,0.07913323851406068,0.030895396499318183,0.04110331607464004,13.924382209777832
9,sin2,tanh,0,2000,0.017335836143186654,0.022215949049921756,0.034776982230276476,13.902867317199707
10,sin2,relu,0,4000,0.0171790940694449,0.016518222851738873,0.08501591813803946,13.912032127380371
11,sin2,tanh,0,4000,0.055596063212994824,0.01891681419298491,0.022565194288934855,13.911760330200195
12,sin2,relu,0,8000,0.03950424721381185,0.02011059131170047,0.012944160309654344,13.887276649475098
13,sin2,tanh,0,8000,0.03641441355874116,0.028540622372625026,0.008927699985564034,13.882511138916016
14,sin2,relu,0,16000,0.045356191725385075,0.016790437767786638,0.023613011141584993,13.905130386352539
15,sin2,tanh,0,16000,0.016267041914409794,0.01042634365206479,0.023890851571159683,13.897162437438965
